suite,path,expected_failure,historical_rc,fixed_rc,historical_r1,fixed_r1,historical_r2,fixed_r2,historical_plan_sha256,fixed_plan_sha256,plan_identical
integration_serial,test/IntegrationTest_serial/Data/query-all.rql,False,0,0,0,0,0,0,000322739877c86e14a42bff01e1b641117120bb6218524bad584a5984186e86,000322739877c86e14a42bff01e1b641117120bb6218524bad584a5984186e86,True
integration_serial,test/IntegrationTest_serial/Data/query-lnx.rql,False,0,0,0,0,1,1,cf838a68480585d15283360f0b9f74703b45c33effbcf1449e04a77b8695d140,cf838a68480585d15283360f0b9f74703b45c33effbcf1449e04a77b8695d140,True
integration_serial,test/IntegrationTest_serial/Data/query.rql,True,1,1,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
integration_serial,test/IntegrationTest_serial/Data/ut_example.rql,True,4,4,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True
integration_serial,test/IntegrationTest_serial/agse1/query.rql,False,0,0,0,0,0,0,75f688c9c0f9f8e4abaeb15b71576d20113593f92172a53e71b06a864f163dec,75f688c9c0f9f8e4abaeb15b71576d20113593f92172a53e71b06a864f163dec,True
integration_serial,test/IntegrationTest_serial/agse2/query.rql,False,0,0,0,0,0,0,791831e7a8c2336f1c3d45136c7fb9e5105adc1984f95fdd8e0ea0110f6961cf,791831e7a8c2336f1c3d45136c7fb9e5105adc1984f95fdd8e0ea0110f6961cf,True
integration_serial,test/IntegrationTest_serial/agse3/query.rql,False,0,0,0,0,0,0,a103813a3b317a92c25b2d3446a5270ab2a8d505969dfd3ffeb19def4555e9cb,a103813a3b317a92c25b2d3446a5270ab2a8d505969dfd3ffeb19def4555e9cb,True
integration_serial,test/IntegrationTest_serial/agse_volatile/query.rql,False,0,0,0,0,0,0,c7eda377e7f10423153ffc5a355096e7c433006cb482b6140642b18266cfbcc5,c7eda377e7f10423153ffc5a355096e7c433006cb482b6140642b18266cfbcc5,True
integration_serial,test/IntegrationTest_serial/consistency/query-consitency.rql,False,0,0,0,0,0,0,da33fdc7deba47789d4bd0cf0f5f48b17d9d72e75e279ba2e3aaad7a238957ec,da33fdc7deba47789d4bd0cf0f5f48b17d9d72e75e279ba2e3aaad7a238957ec,True
integration_serial,test/IntegrationTest_serial/deinterleave_roundtrip/query.rql,False,0,0,0,0,0,0,50bf4545ed024edc5c34412acf389d5e9b906b8873e6cca717390d8e6c374a32,50bf4545ed024edc5c34412acf389d5e9b906b8873e6cca717390d8e6c374a32,True
integration_serial,test/IntegrationTest_serial/issue113_meta_internal/query.rql,False,0,0,0,0,0,0,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,True
integration_serial,test/IntegrationTest_serial/issue113_meta_xtrdb/query.rql,False,0,0,0,0,0,0,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,True
integration_serial,test/IntegrationTest_serial/issue113_null_skip/query.rql,False,0,0,0,0,0,0,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,True
integration_serial,test/IntegrationTest_serial/issue113_null_xqry/query.rql,False,0,0,0,0,0,0,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,d611b913284706bf103bb959457d67832f2ffd3caab6caf25f8104bbdacc1dbd,True
integration_serial,test/IntegrationTest_serial/issue121_isnull/query.rql,False,0,0,0,0,0,0,72a152c10e9f69b60421c7cfc589f3cd4bbdee8b2100d4bba548a108d7079a56,72a152c10e9f69b60421c7cfc589f3cd4bbdee8b2100d4bba548a108d7079a56,True
integration_serial,test/IntegrationTest_serial/issue121_null_propagation/query.rql,False,0,0,0,0,0,0,79e93c7808eff1453b4f7f62e13561540d0c7e9aafe8f9bfc7002a54eefd2282,79e93c7808eff1453b4f7f62e13561540d0c7e9aafe8f9bfc7002a54eefd2282,True
integration_serial,test/IntegrationTest_serial/issue128_numeric_to_string/query.rql,False,0,0,0,0,0,0,808a8d3b8d8b28464337e2a4402a3817016b751f99463255a123b5935abf8f1e,808a8d3b8d8b28464337e2a4402a3817016b751f99463255a123b5935abf8f1e,True
integration_serial,test/IntegrationTest_serial/issue128_string_to_numeric/query.rql,False,0,0,0,0,0,0,ee962bb260264b1dd25b69256c154ca5c82ef45831f21b6affd5d932b2f778c8,ee962bb260264b1dd25b69256c154ca5c82ef45831f21b6affd5d932b2f778c8,True
integration_serial,test/IntegrationTest_serial/issue167_dedup_cascaded/query.rql,False,0,0,0,0,0,0,805618f7d52ce7b49f03e0b54a94df8aacb9a208417d29d58680c28fd8172bbd,805618f7d52ce7b49f03e0b54a94df8aacb9a208417d29d58680c28fd8172bbd,True
integration_serial,test/IntegrationTest_serial/issue167_dedup_field_names/query.rql,False,0,0,0,0,0,0,e120279f10652a9090be2503bf800e42e76fcb11db3ee00781d83bf171c0962c,e120279f10652a9090be2503bf800e42e76fcb11db3ee00781d83bf171c0962c,True
integration_serial,test/IntegrationTest_serial/issue167_dedup_nonzero_offset/query.rql,False,0,0,0,0,1,1,08f52612810ecbd45142059f5308f1001d084ab64b1a6fa81e892da28b2dfccd,08f52612810ecbd45142059f5308f1001d084ab64b1a6fa81e892da28b2dfccd,True
integration_serial,test/IntegrationTest_serial/issue167_dedup_positive/query.rql,False,0,0,0,0,0,0,ef508dff89ee2b1b216805bea0f2379f2eca7060ebc8dd34d270286211d9d868,ef508dff89ee2b1b216805bea0f2379f2eca7060ebc8dd34d270286211d9d868,True
integration_serial,test/IntegrationTest_serial/issue167_triarg/query.rql,False,0,0,0,0,1,1,90e556257589108c84a70b5bbb09af5c1217c7121c22aa7dd2e5cd32308be42b,90e556257589108c84a70b5bbb09af5c1217c7121c22aa7dd2e5cd32308be42b,True
integration_serial,test/IntegrationTest_serial/issue202_hash_shift_e2e/query.rql,False,0,0,1,1,0,0,082df6eafc8bc440aa1c44f4e1ba5e9e330398744880fd23fef25ce9d3a2712e,082df6eafc8bc440aa1c44f4e1ba5e9e330398744880fd23fef25ce9d3a2712e,True
integration_serial,test/IntegrationTest_serial/issue42_rule/query-42.rql,False,0,0,0,0,0,0,4ffb857784bdb2cd1f8b03c8a6c1c3db048b4db4f00543a655c607f74ba0c76e,4ffb857784bdb2cd1f8b03c8a6c1c3db048b4db4f00543a655c607f74ba0c76e,True
integration_serial,test/IntegrationTest_serial/issue56_timeshift/query-51.rql,False,0,0,0,0,0,0,b6315b36799829756a14cc67b0ca891458e2ab8c6485ff47f7ee56cbbe2b4951,b6315b36799829756a14cc67b0ca891458e2ab8c6485ff47f7ee56cbbe2b4951,True
integration_serial,test/IntegrationTest_serial/issue61_tmpmem/query-61.rql,False,0,0,0,0,0,0,8d26530c4b1bd8eae728a21f9b031c5eddba5c6bba1ff2b0d4d4ef588411c18a,8d26530c4b1bd8eae728a21f9b031c5eddba5c6bba1ff2b0d4d4ef588411c18a,True
