suite	path	expected	reason
integration_serial	test/IntegrationTest_serial/Data/query-all.rql	compiled	-
integration_serial	test/IntegrationTest_serial/Data/query-lnx.rql	compiled	-
integration_serial	test/IntegrationTest_serial/Data/query.rql	compile_failure	Nierejestrowany historyczny fixture używa usuniętych typów i16/i8 oraz dawnej składni FILE.
integration_serial	test/IntegrationTest_serial/Data/ut_example.rql	compile_failure	Nierejestrowany historyczny fixture odwołuje się do niezadeklarowanego strumienia core.
integration_serial	test/IntegrationTest_serial/agse1/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/agse2/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/agse3/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/consistency/query-consitency.rql	compiled	-
integration_serial	test/IntegrationTest_serial/deinterleave_roundtrip/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue113_meta_internal/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue113_meta_xtrdb/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue113_null_skip/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue113_null_xqry/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue121_isnull/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue121_null_propagation/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue128_numeric_to_string/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue128_string_to_numeric/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue167_dedup_cascaded/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue167_dedup_field_names/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue167_dedup_nonzero_offset/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue167_dedup_positive/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue167_triarg/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue202_hash_shift_e2e/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue42_rule/query-42.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue56_timeshift/query-51.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue61_tmpmem/query-61.rql	compiled	-
integration_serial	test/IntegrationTest_serial/issue6_adhoc/query-6.rql	compiled	-
integration_serial	test/IntegrationTest_serial/k19_boundaries/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/null_divide_by_zero/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/operations/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/optimizer_ablation/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/r1_identity_nulls/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/rotation_test/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/select_cse_commutative_add/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/simple/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/simple_max/query.rql	compiled	-
integration_serial	test/IntegrationTest_serial/xqry_elem_limit/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern1/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern2/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern3/query-unfold.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern4/query-crc.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern6/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/Pattern7/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/dsp/query.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue202_hash_shift_factorization/matched.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue202_hash_shift_factorization/unmatched.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue202_hash_shift_factorization/zero.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue31_doc/q-31.a.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue31_doc/q-31.b.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue31_doc/q-31.c.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue31_doc/q-31.d.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue95_loopInCompile/brokenQuery.rql	compile_failure	Regresja celowo zawiera cykliczną zależność i musi zostać odrzucona przez kompilator.
integration_parallel	test/IntegrationTest_parallel/issue96_no_substrat_reduction/queryNoSubstrat.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/issue96_substrat_reference/queryWithSubstrats.rql	compiled	-
integration_parallel	test/IntegrationTest_parallel/subquery/query.rql	compiled	-
examples	examples/agse/query.rql	compiled	-
examples	examples/doc-compiler/ex.1/query.rql	compiled	-
examples	examples/ecg/rec205/rec205-detect.rql	compiled	-
examples	examples/ecg/rec205/rec205-qrs.rql	compiled	-
examples	examples/ecg/rec205/rec205-replay.rql	compiled	-
examples	examples/issue-set/expression/query.rql	compiled	-
examples	examples/issue-set/multi-read/issue-multiple-read-form-one-file.rql	compiled	-
examples	examples/mwd/query-mwnd.rql	compile_failure	Historyczny przykład interaktywny ma sklejone instrukcje SELECT i DECLARE; dołączony test-mwnd.sh również odrzuca go w trybie compile-only.
examples	examples/mwd/query-mwnd2.rql	compile_failure	Historyczny przykład interaktywny używa nieaktualnej, niecytowanej ścieżki FILE.
examples	examples/mwd/query-mwnd3.rql	compiled	-
examples	examples/mwd/query-mwnd4.rql	compiled	-
examples	examples/rmpy/adhoc-record/query.rql	compiled	-
examples	examples/rmpy/qplan1.rql	compiled	-
examples	examples/rmpy/qplan2.rql	compiled	-
examples	examples/rmpy/qplan3.rql	compiled	-
examples	examples/rmpy/query.rql	compiled	-
examples	examples/rmpy/query2.rql	compiled	-
examples	examples/rmpy/query3.rql	compiled	-
examples	examples/rmpy/query4.rql	compiled	-
examples	examples/rmpy/query5.rql	compiled	-
examples	examples/rmpy/query6.rql	compiled	-
examples	examples/rmpy/query7.rql	compiled	-
examples	examples/rmpy/query8.rql	compiled	-
examples	examples/rmpy/query9.rql	compiled	-
examples	examples/session-record-1/query.rql	compiled	-
